,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
0,1,0,22,0,5,1.0,2,4.0,3
1,0,1,38,2,2,0.0,0,3.0,3
2,0,1,67,2,2,1.0,2,1.0,5
3,1,1,67,2,7,0.0,1,2.0,5
4,0,1,40,2,3,0.0,1,6.0,5
5,1,1,56,0,0,0.0,0,2.0,5
6,1,0,32,2,5,1.0,2,3.0,5
7,0,0,33,2,5,1.0,2,3.0,5
8,0,1,61,2,2,0.0,2,3.0,6
9,0,1,55,2,0,1.0,0,4.0,5
10,0,0,26,2,2,1.0,2,3.0,5
11,1,0,19,0,5,4.0,2,4.0,3
12,0,0,19,0,4,0.0,2,1.0,2
13,1,1,70,0,7,0.0,2,1.0,5
14,0,1,58,0,1,0.0,2,1.0,2
15,0,0,41,0,5,1.0,2,2.0,0
16,0,0,32,0,6,9.0,2,5.0,2
17,1,0,31,0,5,1.0,2,6.0,5
18,1,1,58,2,3,1.0,0,4.0,5
19,0,1,79,2,0,0.0,1,1.0,5
20,1,1,49,2,6,12.0,2,1.0,2
21,0,0,18,0,5,3.0,2,4.0,5
22,1,1,33,2,0,13.0,2,2.0,2
23,0,0,36,2,0,5.0,2,2.0,5
24,0,2,58,0,4,1.0,0,3.0,2
25,1,1,56,0,0,1.0,0,3.0,5
26,1,0,31,0,5,9.0,2,8.0,3
27,1,1,49,2,0,1.0,0,3.0,5
28,1,0,35,2,0,0.0,2,1.0,5
29,0,0,35,0,0,5.0,2,4.0,5
30,0,1,45,2,0,0.0,2,3.0,5
31,0,1,42,0,1,1.0,2,2.0,3
32,1,0,19,0,5,1.0,2,3.0,1
33,1,0,26,0,6,9.0,2,1.0,5
34,0,1,83,0,7,1.0,1,2.0,5
35,0,0,27,2,5,3.0,2,4.0,0
36,1,0,32,0,1,5.0,2,1.0,3
37,0,1,28,0,5,1.0,0,5.0,2
38,0,1,28,2,0,8.0,2,2.0,5
39,1,1,56,2,0,0.0,0,2.0,5
40,0,0,47,2,0,4.0,2,1.0,5
41,0,0,22,0,5,0.0,2,2.0,5
42,0,0,27,2,0,14.0,2,3.0,5
43,0,1,49,2,0,1.0,2,2.0,7
44,1,1,40,0,2,8.0,2,1.0,5
